cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
564,12,60,20,11,23,12,0.135880,0.596793,10846.0,3856.2,10515.0,3733.1,1.0330,1.0315,4150.1,4144.6
565,12,64,20,11,24,13,0.143282,0.593426,9591.0,3803.9,8604.0,3748.2,1.0149,1.1147,4150.1,4144.6
566,12,68,20,11,26,15,0.150250,0.559115,10258.0,3650.1,8604.0,3719.5,0.9813,1.1922,4150.1,4144.6
567,12,72,20,11,27,16,0.156778,0.555818,9535.0,3654.6,9376.0,3753.0,0.9738,1.0170,4150.1,4144.6
568,12,76,20,11,29,18,0.162879,0.476405,8788.0,3009.7,8604.0,3744.5,0.8038,1.0214,4150.1,4144.6
569,12,80,20,11,31,20,0.168942,0.452927,8875.0,2926.4,9950.0,3603.7,0.8120,0.8920,4150.1,4144.6
570,12,84,20,11,33,22,0.174434,0.402918,9543.0,3150.5,8950.0,3523.2,0.8942,1.0663,4150.1,4144.6
571,12,88,20,11,35,24,0.179599,0.383548,8712.0,3032.6,8604.0,3248.3,0.9336,1.0126,4150.1,4144.6
572,12,92,20,11,37,26,0.184449,0.357033,9649.0,3147.9,8604.0,3185.9,0.9881,1.1215,4150.1,4144.6
573,12,96,20,11,40,29,0.189004,0.342032,9804.0,3192.5,8604.0,3108.9,1.0269,1.1395,4150.1,4144.6
574,12,100,20,11,42,31,0.193296,0.340226,9319.0,3180.0,8604.0,3021.3,1.0525,1.0831,4150.1,4144.6
